date,period,country_filter,rank,country,isin,name,buy_amount,sell_amount,net_buy_amount
2026-04-23,1M,전체,1,미국,US88160R1014,TESLA INC,1016878212,738103404,278774808
2026-04-23,1M,전체,2,미국,US25461H5726,DIREXION SHARES ETF TRUST DAILY SEMICONDUCTOR BEAR 3X SHS (R,777005028,507325286,269679742
2026-04-23,1M,전체,3,미국,US25460G2865,DIREXION DAILY TSLA BULL 2X SHARES,573294290,379220551,194073739
2026-04-23,1M,전체,4,미국,US5949181045,MICROSOFT CORP,351092840,157939130,193153710
2026-04-23,1M,전체,5,미국,US46138G6492,INVESCO NASDAQ 100 ETF,231283671,52636008,178647663
2026-04-23,1M,전체,6,미국,US77926X3200,ROUNDHILL MEMORY ETF,175469990,6203631,169266358
2026-04-23,1M,전체,7,미국,US9229083632,VANGUARD SP 500 ETF SPLR 39326002188 US9229084135,210698077,67029841,143668236
2026-04-23,1M,전체,8,미국,US46090E1038,INVESCO QQQ TRUST SRS 1 ETF,255545737,116445976,139099762
2026-04-23,1M,전체,9,미국,NL0009805522,YANDEX NV CL A,180899137,46259047,134640090
2026-04-23,1M,전체,10,미국,US5738741041,MARVELL TECHNOLOGY INC,172905962,49374478,123531484
2026-04-23,1M,전체,11,미국,US7731211089,ROCKET LAB CORPORATION COM USD0.0001 MRGR 978814817 US7731221062,299800154,188651115,111149039
2026-04-23,1M,전체,12,미국,US8085247976,SCHWAB US DIVIDEND EQUITY ETF,218619570,119136894,99482676
2026-04-23,1M,전체,13,미국,US46654Q2030,J.P. MORGAN NASDAQ EQUITY PREMIUM INCOME ETF,118538422,33701179,84837244
2026-04-23,1M,전체,14,미국,US80004C2008,SNDSK CRP ORD WI,493368019,410766743,82601276
2026-04-23,1M,전체,15,미국,US74347R2067,PROSHARES ULTRA QQQ ETF,167269512,91742056,75527456
2026-04-23,1M,전체,16,미국,US02156V1098,ALTC ACQUISITION CORP,101799629,34092278,67707351
2026-04-23,1M,전체,17,미국,US78433H6751,NEOS NASDAQ 100 HIGH INCOME ETF,82379968,17399445,64980523
2026-04-23,1M,전체,18,미국,US6541061031,NIKE INC CL B,80275943,16059355,64216588
2026-04-23,1M,전체,19,미국,US78462F1030,SPDR SP 500 ETF TRUST,144570969,80553031,64017938
2026-04-23,1M,전체,20,미국,US55024U1097,LUMENTUM HOLDINGS INC SOFF 39520207144 US46612J5074,305965593,242525301,63440291
2026-04-23,1M,전체,21,미국,US7707001027,ROBINHOOD MARKETS INC,95420268,32291690,63128578
2026-04-23,1M,전체,22,미국,US4642875235,ISHARES SEMICONDUCTOR ETF,145109534,82727383,62382151
2026-04-23,1M,전체,23,미국,US67079K1007,NUSCALE POWER CORP CL A MRGR 009185329 KYG8377A1085,107236043,45200365,62035678
2026-04-23,1M,전체,24,미국,US36828A1016,GE Vernova,102477894,40662946,61814948
2026-04-23,1M,전체,25,미국,IL0010823792,TOWER SEMICONDUCTOR LTD,90079249,30344769,59734480
2026-04-23,1M,전체,26,미국,US21873S1087,CoreWeave Inc,109371485,50326546,59044939
2026-04-23,1M,전체,27,미국,KYG254571055,CREDO TECHNOLOGY GROUP HOLDING LTD,84601526,27235154,57366372
2026-04-23,1M,전체,28,미국,US46222L1089,IONQ INC,286069143,231200183,54868961
2026-04-23,1M,전체,29,미국,US46143U5424,TRADR 2X LONG ASTS DAILY ETF,88424855,40572156,47852699
2026-04-23,1M,전체,30,미국,AU0000185993,IRIS ENERGY LTD,154024012,107093678,46930333
2026-04-23,1M,전체,31,미국,US4581401001,INTEL CORP,165673338,122852261,42821077
2026-04-23,1M,전체,32,미국,US5949724083,MICROSTRATEGY INC CL A,72515857,30153651,42362207
2026-04-23,1M,전체,33,미국,US25461A8669,DIREXION DAILY MSFT BULL 1 5X ETF,97483414,55706139,41777275
2026-04-23,1M,전체,34,미국,US31816X1063,FIREFLY AEROSPACE INC,60441193,22866508,37574685
