date,period,country_filter,rank,country,isin,name,buy_amount,sell_amount,net_buy_amount
2026-05-20,1W,전체,1,미국,US25459W4583,DIREXION DAILY SEMICONDUCTORS BULL 3X SHS ETF,1693534334,614817813,1078716522
2026-05-20,1W,전체,2,미국,US46152A6689,TRADR 2X LONG SNDK DAILY ETF,231907513,68700077,163207436
2026-05-20,1W,전체,3,미국,NL0009805522,YANDEX NV CL A,176505604,44729147,131776457
2026-05-20,1W,전체,4,미국,US46138G6492,INVESCO NASDAQ 100 ETF,95867806,11148254,84719553
2026-05-20,1W,전체,5,미국,US77926X3200,ROUNDHILL MEMORY ETF,171370008,100690961,70679047
2026-05-20,1W,전체,6,미국,US87975E7765,Tema Space Innovators ETF,63858621,2201030,61657590
2026-05-20,1W,전체,7,미국,US4642872000,ISHARES CORE SP 500 ETF,63942146,5692266,58249881
2026-05-20,1W,전체,8,미국,US1725731079,Circle Internet,111164523,54253243,56911280
2026-05-20,1W,전체,9,미국,US15675D1037,CEREBRAS SYSTEMS INC,59632166,5578624,54053542
2026-05-20,1W,전체,10,미국,US25461A3876,DIREXION SHARES ETF TRUST DAILY MSCI SOUTH KOREA BULL SPLR 970211833 US25459Y5208,134307798,80695341,53612457
2026-05-20,1W,전체,11,일본,JP3236330001,KIOXIA HOLDINGS,80418475,34492875,45925599
2026-05-20,1W,전체,12,미국,US46090E1038,INVESCO QQQ TRUST SRS 1 ETF,67376006,27061613,40314393
2026-05-20,1W,전체,13,미국,US4642867729,ISHARES MSCI SOUTH KOREA ETF,51076034,13789524,37286510
2026-05-20,1W,전체,14,미국,US03823U1025,APPLIED OPTOELECTRONICS INC,65436635,30579761,34856874
2026-05-20,1W,전체,15,미국,US5738741041,MARVELL TECHNOLOGY INC,51692905,21837099,29855806
2026-05-20,1W,전체,16,미국,US24703L2025,DELL TECHNOLOGIES INC CL C MRGR 006138875 US24703L1035,38705002,9915900,28789102
2026-05-20,1W,전체,17,미국,US97785W1062,WOLFSPEED INC/DE WOLFSPEED INC/DE EXOF 985462627 US9778521024,35584754,6922049,28662705
2026-05-20,1W,전체,18,미국,US19247G1076,II-VI INCORPORATED Com CHAN 009623241 US9021041085,64897655,37230000,27667654
2026-05-20,1W,전체,19,홍콩,HK0001121349,XL2CSOPSMSN,50315683,25321446,24994237
2026-05-20,1W,전체,20,미국,US02072L5654,ALPHA ARCHITECT 1-3 MONTH BOX ETF,28568443,4223534,24344909
2026-05-20,1W,전체,21,미국,US9229083632,VANGUARD SP 500 ETF SPLR 39326002188 US9229084135,40897638,17874596,23023042
2026-05-20,1W,전체,22,미국,US2193501051,CORNING INC,37555166,16020884,21534282
2026-05-20,1W,전체,23,미국,US88636V6781,DEFIANCE DAILY TARGET 2X LONG OKLO ETF,30459372,10170133,20289238
2026-05-20,1W,전체,24,미국,US46152A6507,TRADR 2X LONG LITE DAILY ETF,37491137,17366620,20124517
2026-05-20,1W,전체,25,미국,US7731211089,ROCKET LAB CORPORATION COM USD0.0001 MRGR 978814817 US7731221062,132767301,113004776,19762525
2026-05-20,1W,전체,26,미국,US25461A5285,DXN MU BUL2X ETF,152433388,132754860,19678528
2026-05-20,1W,전체,27,미국,US38747R5533,GRANITESHARES 2X LONG INTC DAILY ETF,43771962,24936870,18835091
2026-05-20,1W,전체,28,미국,US26923Q5642,T-REX 2X LONG BMNR DAILY TARGET ETF,26477607,8593249,17884358
2026-05-20,1W,전체,29,미국,IL0010823792,TOWER SEMICONDUCTOR LTD,24699888,7772901,16926987
2026-05-20,1W,전체,30,미국,US37954Y6326,GLOBAL X ARTIFICIAL INTELLIGENCE N TECHNOLOGY ETF,19467628,2802880,16664748
2026-05-20,1W,전체,31,미국,US92835K1034,VISHAY PRECISION GROUP INC,15513811,732469,14781342
2026-05-20,1W,전체,32,미국,US78433H6751,NEOS NASDAQ 100 HIGH INCOME ETF,24133612,9361669,14771942
2026-05-20,1W,전체,33,미국,KYG283851130,DRMLND LTD ORD A,25582071,11310014,14272057
2026-05-20,1W,전체,34,홍콩,HK0000637832,GLOBAL X CHINA SEMICONDUCTOR ETF (HKD),14734985,979809,13755176
2026-05-20,1W,전체,35,미국,KYG9767H1258,WORK MEDICAL TECHNOLOGY GROUP LTD,19530529,5895324,13635205
2026-05-20,1W,전체,36,미국,US00971T1016,AKAMAI TECHNOLOGIES INC,13997214,609453,13387761
2026-05-20,1W,전체,37,미국,US4642877132,ISHARES US TELECOMMUNICATIONS ETF,13172016,29524,13142492
2026-05-20,1W,전체,38,미국,US74350P5439,ProShares Ultra CRCL ETF,29629727,16539000,13090728
2026-05-20,1W,전체,39,미국,US88636Y8883,DEFIAN DIY TT 2X LO IREN ETF SPLR 2641253609002 US88636W6509,35136950,22290384,12846566
2026-05-20,1W,전체,40,미국,US6078281002,MODINE MANUFACTURING CO,13217106,878972,12338134
2026-05-20,1W,전체,41,미국,US81762P1021,SERVICENOW INC,15372925,3124649,12248277
2026-05-20,1W,전체,42,미국,US45676K1034,INFLEQTION INC MRGR 2641200547002 KYG2130T1242,14612456,2461101,12151355
2026-05-20,1W,전체,43,미국,US22266T1097,COUPANG INC,16580574,4578900,12001675
2026-05-20,1W,전체,44,미국,US88340C1642,LEVERAGE SHARES 2X CRCL SPLR 2641675233002 US88340C7011,23641480,12434727,11206753
2026-05-20,1W,전체,45,미국,US4581401001,INTEL CORP,257331512,246500909,10830603
2026-05-20,1W,전체,46,미국,US82982T1060,SITIME CORP,12698921,1990013,10708907
2026-05-20,1W,전체,47,미국,US88340C6773,LEVERAGE SHARES 2X LONG NBIS DAILY ETF,12463483,1852546,10610937
2026-05-20,1W,전체,48,미국,US7069151055,PENGUIN SOLUTIONS INC,10886621,904690,9981931
2026-05-20,1W,전체,49,미국,US25063F1075,DESTINY TECH 100 INC,21361315,11492861,9868454
2026-05-20,1W,전체,50,미국,US92537N1081,VERTIV HOLDINGS CO,22171234,12310745,9860489
2026-05-20,1W,미국,1,미국,US25459W4583,DIREXION DAILY SEMICONDUCTORS BULL 3X SHS ETF,1693534334,614817813,1078716522
2026-05-20,1W,미국,2,미국,US46152A6689,TRADR 2X LONG SNDK DAILY ETF,231907513,68700077,163207436
2026-05-20,1W,미국,3,미국,NL0009805522,YANDEX NV CL A,176505604,44729147,131776457
2026-05-20,1W,미국,4,미국,US46138G6492,INVESCO NASDAQ 100 ETF,95867806,11148254,84719553
2026-05-20,1W,미국,5,미국,US77926X3200,ROUNDHILL MEMORY ETF,171370008,100690961,70679047
2026-05-20,1W,미국,6,미국,US87975E7765,Tema Space Innovators ETF,63858621,2201030,61657590
2026-05-20,1W,미국,7,미국,US4642872000,ISHARES CORE SP 500 ETF,63942146,5692266,58249881
2026-05-20,1W,미국,8,미국,US1725731079,Circle Internet,111164523,54253243,56911280
2026-05-20,1W,미국,9,미국,US15675D1037,CEREBRAS SYSTEMS INC,59632166,5578624,54053542
2026-05-20,1W,미국,10,미국,US25461A3876,DIREXION SHARES ETF TRUST DAILY MSCI SOUTH KOREA BULL SPLR 970211833 US25459Y5208,134307798,80695341,53612457
2026-05-20,1W,미국,11,미국,US46090E1038,INVESCO QQQ TRUST SRS 1 ETF,67376006,27061613,40314393
2026-05-20,1W,미국,12,미국,US4642867729,ISHARES MSCI SOUTH KOREA ETF,51076034,13789524,37286510
2026-05-20,1W,미국,13,미국,US03823U1025,APPLIED OPTOELECTRONICS INC,65436635,30579761,34856874
2026-05-20,1W,미국,14,미국,US5738741041,MARVELL TECHNOLOGY INC,51692905,21837099,29855806
2026-05-20,1W,미국,15,미국,US24703L2025,DELL TECHNOLOGIES INC CL C MRGR 006138875 US24703L1035,38705002,9915900,28789102
