date,period,country_filter,rank,country,isin,name,buy_amount,sell_amount,net_buy_amount
2026-06-11,1M,전체,1,미국,US5951121038,MICRON TECHNOLOGY INC,1607979620,901132087,706847532
2026-06-11,1M,전체,2,미국,US25459W4583,DIREXION DAILY SEMICONDUCTORS BULL 3X SHS ETF,5210706583,4563575962,647130621
2026-06-11,1M,전체,3,미국,US5738741041,MARVELL TECHNOLOGY INC,767124707,293278605,473846101
2026-06-11,1M,전체,4,미국,US87975E7765,Tema Space Innovators ETF,361468256,39182964,322285292
2026-06-11,1M,전체,5,미국,US46138G6492,INVESCO NASDAQ 100 ETF,334435057,39500780,294934277
2026-06-11,1M,전체,6,미국,US77926X3200,ROUNDHILL MEMORY ETF,481768531,230447286,251321244
2026-06-11,1M,전체,7,미국,NL0009805522,YANDEX NV CL A,294211784,85399623,208812161
2026-06-11,1M,전체,8,미국,US25461A5285,DXN MU BUL2X ETF,621250467,412818204,208432263
2026-06-11,1M,전체,9,미국,US0420682058,ARM HOLDINGS PLC SPON ADS EACH REP 1 ORD SHS,386623178,185186982,201436196
2026-06-11,1M,전체,10,미국,US46090E1038,INVESCO QQQ TRUST SRS 1 ETF,228623849,107290346,121333503
2026-06-11,1M,전체,11,미국,US4592001014,INTERNATIONAL BUSINESS MACHINES CORP,177733890,59750991,117982900
2026-06-11,1M,전체,12,일본,JP3236330001,KIOXIA HOLDINGS,251542893,138647348,112895545
2026-06-11,1M,전체,13,미국,US74347R2067,PROSHARES ULTRA QQQ ETF,190218597,82682184,107536413
2026-06-11,1M,전체,14,미국,US38747R5202,GRANITESHARES 2X LONG MRVL DAILY ETF,152438393,47394134,105044259
2026-06-11,1M,전체,15,미국,US9229083632,VANGUARD SP 500 ETF SPLR 39326002188 US9229084135,159160661,58683830,100476831
2026-06-11,1M,전체,16,미국,US4642875235,ISHARES SEMICONDUCTOR ETF,399046705,298866696,100180010
2026-06-11,1M,전체,17,미국,US8334451098,SNOWFLAKE INC,108691448,17690941,91000507
2026-06-11,1M,전체,18,미국,US24703L2025,DELL TECHNOLOGIES INC CL C MRGR 006138875 US24703L1035,193174422,103538276,89636146
2026-06-11,1M,전체,19,미국,US15675D1037,CEREBRAS SYSTEMS INC,117485244,30832045,86653199
2026-06-11,1M,전체,20,미국,US25402D1028,DIGITALOCEAN HOLDINGS INC,90945857,6504208,84441649
2026-06-11,1M,전체,21,미국,US25461A3876,DIREXION SHARES ETF TRUST DAILY MSCI SOUTH KOREA BULL SPLR 970211833 US25459Y5208,527660579,444969744,82690835
2026-06-11,1M,전체,22,미국,US34379V1035,FLUENCE ENERGY INC,114191932,31744811,82447121
2026-06-11,1M,전체,23,미국,US8085247976,SCHWAB US DIVIDEND EQUITY ETF,169026222,87868562,81157660
2026-06-11,1M,전체,24,미국,US25461H5726,DIREXION SHARES ETF TRUST DAILY SEMICONDUCTOR BEAR 3X SHS (R,386763371,309798538,76964832
2026-06-11,1M,전체,25,미국,US83417M1045,SOLAREDGE TECHNOLOGIES INC,89590916,16106625,73484291
2026-06-11,1M,전체,26,미국,US00971T1016,AKAMAI TECHNOLOGIES INC,74396500,3740079,70656422
