date,period,country_filter,rank,country,isin,name,buy_amount,sell_amount,net_buy_amount
2026-03-10,1M,전체,1,미국,US25459W4583,DIREXION DAILY SEMICONDUCTORS BULL 3X SHS ETF,3980075239,3523286379,456788860
2026-03-10,1M,전체,2,미국,US25461A3876,DIREXION SHARES ETF TRUST DAILY MSCI SOUTH KOREA BULL SPLR 970211833 US25459Y5208,464551022,202623647,261927375
2026-03-10,1M,전체,3,미국,US5949181045,MICROSOFT CORP,356672952,164076743,192596209
2026-03-10,1M,전체,4,미국,US0231351067,AMAZON.COM INC,281609581,157381537,124228043
2026-03-10,1M,전체,5,미국,US74347X8314,PROSHARES ULTRAPRO QQQ ETF,402387804,280977862,121409941
2026-03-10,1M,전체,6,미국,US46138G6492,INVESCO NASDAQ 100 ETF,178294577,62393242,115901335
2026-03-10,1M,전체,7,미국,US8085247976,SCHWAB US DIVIDEND EQUITY ETF,206699448,109819639,96879809
2026-03-10,1M,전체,8,미국,US4642867729,ISHARES MSCI SOUTH KOREA ETF,125106594,37220139,87886455
2026-03-10,1M,전체,9,미국,US46654Q2030,J.P. MORGAN NASDAQ EQUITY PREMIUM INCOME ETF,124991547,40384671,84606876
2026-03-10,1M,전체,10,미국,US9229083632,VANGUARD SP 500 ETF SPLR 39326002188 US9229084135,187775586,104877055,82898531
2026-03-10,1M,전체,11,미국,US1725731079,Circle Internet,196961464,116041507,80919956
2026-03-10,1M,전체,12,미국,US92864M7983,VOLATILITY SHARES TRUST 2X ETHER ETF NEW SPLR 974476707 US92864M4006,138553336,66343235,72210101
2026-03-10,1M,전체,13,미국,CA85207K1075,SPROTT PHYSICAL SILVER TRUST,95588532,24902925,70685606
2026-03-10,1M,전체,14,미국,US68389X1054,ORACLE CORP,137959851,74402100,63557751
2026-03-10,1M,전체,15,미국,US8740391003,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD ADR,156528628,93583982,62944645
2026-03-10,1M,전체,16,미국,US46222L1089,IONQ INC,242083563,181263662,60819901
2026-03-10,1M,전체,17,미국,US74347R2067,PROSHARES ULTRA QQQ ETF,130720394,73122589,57597805
2026-03-10,1M,전체,18,미국,US03823U1025,APPLIED OPTOELECTRONICS INC,66004563,12625339,53379224
2026-03-10,1M,전체,19,미국,US30231G1022,EXXON MOBIL CORP,80731636,27588447,53143189
2026-03-10,1M,전체,20,미국,US67079K1007,NUSCALE POWER CORP CL A MRGR 009185329 KYG8377A1085,115031352,63172841,51858512
2026-03-10,1M,전체,21,미국,US09175A2069,BITMINE IMMERSION TECHNOLOGI,87408304,41129196,46279108
2026-03-10,1M,전체,22,미국,US78433H6751,NEOS NASDAQ 100 HIGH INCOME ETF,67071149,22757722,44313427
2026-03-10,1M,전체,23,미국,US3463751087,FORMFACTOR INC,45974091,3214742,42759349
2026-03-10,1M,전체,24,미국,US81369Y5069,ENERGY SELECT SECTOR SPDR ETF,54294577,13762434,40532142
2026-03-10,1M,전체,25,미국,US25461A8669,DIREXION DAILY MSFT BULL 1 5X ETF,71609370,31906451,39702919
2026-03-10,1M,전체,26,미국,US92189H3003,VANECK JP MORGAN EM LOCAL CURRENCY BOND ETF,49342062,10183913,39158149
2026-03-10,1M,전체,27,미국,US22266T1097,COUPANG INC,85417508,47893107,37524402
2026-03-10,1M,전체,28,미국,US46137V3574,INVESCO SP 500 EQUAL WEIGHT ETF CHAN 005862946 US7393718132,46171811,9492166,36679645
2026-03-10,1M,전체,29,미국,KYG651631007,JOBY AVIATION INC EXOF 008448244 KYG7483N1117,64317981,28705625,35612356
2026-03-10,1M,전체,30,미국,US9807451037,WOODWARD INC,35470928,1634843,33836086
2026-03-10,1M,전체,31,미국,US8816242098,TEVA PHARMACEUTICAL INDUSTRIES LTD ADR,37608572,3963441,33645131
2026-03-10,1M,전체,32,미국,US9255501051,VIAVI SOLUTIONS INC CHAN 39521202055 US46612J5074,45766580,12312424,33454156
2026-03-10,1M,전체,33,미국,US19247G1076,II-VI INCORPORATED Com CHAN 009623241 US9021041085,88205160,55394160,32811000
2026-03-10,1M,전체,34,미국,US38747R8016,GRNTSHR 2X ETF,64063690,32638086,31425603
2026-03-10,1M,전체,35,미국,US26923Q5642,T-REX 2X LONG BMNR DAILY TARGET ETF,43529929,13089399,30440530
2026-03-10,1M,전체,36,미국,US19260Q1076,COINBASE GLOBAL INC,82618323,52649318,29969005
2026-03-10,1M,전체,37,미국,US72703X1063,PLANET LABS PBC,60120841,31016745,29104096
2026-03-10,1M,전체,38,미국,US92864M3016,2X BITCOIN STRATEGY ETF,74116648,45968556,28148092
2026-03-10,1M,전체,39,미국,US1049322076,BRAND ENGAGEMENT NETWORK IN COM USD0.0001(PST RV SPT) SPLR 987177411 US1049321086,39097624,11793350,27304274
2026-03-10,1M,전체,40,미국,US78464A8541,SPDR PORTFOLIO SP 500 ETF,67129860,41093989,26035871
2026-03-10,1M,전체,41,미국,US6701002056,NOVO NORDISK A/S ADR,52900344,28069592,24830752
2026-03-10,1M,전체,42,미국,US8807701029,TERADYNE INC,68182957,44383483,23799474
2026-03-10,1M,전체,43,미국,US88636W6509,DEFIANCE DAILY TARGET 2X LONG IREN ETF,138634031,114841233,23792798
2026-03-10,1M,전체,44,미국,US7707001027,ROBINHOOD MARKETS INC,67012353,44563199,22449154
2026-03-10,1M,전체,45,미국,US36828A1016,GE Vernova,67468086,45251988,22216098
2026-03-10,1M,전체,46,미국,US1999081045,COMFORT SYSTEMS USA INC,25564452,4505492,21058960
2026-03-10,1M,전체,47,홍콩,CNE100007DX6,MONTAGE TECHNOLOGY,21753116,948447,20804669
2026-03-10,1M,전체,48,미국,US0079031078,ADVANCED MICRO DEVICES INC,178003684,158955759,19047926
2026-03-10,1M,전체,49,미국,US2193501051,CORNING INC,64997626,46148501,18849125
2026-03-10,1M,전체,50,미국,US0080731088,AEROVIRONMENT INC,33399665,14582575,18817089
2026-03-10,1M,미국,1,미국,US25459W4583,DIREXION DAILY SEMICONDUCTORS BULL 3X SHS ETF,3980075239,3523286379,456788860
2026-03-10,1M,미국,2,미국,US25461A3876,DIREXION SHARES ETF TRUST DAILY MSCI SOUTH KOREA BULL SPLR 970211833 US25459Y5208,464551022,202623647,261927375
2026-03-10,1M,미국,3,미국,US5949181045,MICROSOFT CORP,356672952,164076743,192596209
2026-03-10,1M,미국,4,미국,US0231351067,AMAZON.COM INC,281609581,157381537,124228043
2026-03-10,1M,미국,5,미국,US74347X8314,PROSHARES ULTRAPRO QQQ ETF,402387804,280977862,121409941
2026-03-10,1M,미국,6,미국,US46138G6492,INVESCO NASDAQ 100 ETF,178294577,62393242,115901335
2026-03-10,1M,미국,7,미국,US8085247976,SCHWAB US DIVIDEND EQUITY ETF,206699448,109819639,96879809
2026-03-10,1M,미국,8,미국,US4642867729,ISHARES MSCI SOUTH KOREA ETF,125106594,37220139,87886455
2026-03-10,1M,미국,9,미국,US46654Q2030,J.P. MORGAN NASDAQ EQUITY PREMIUM INCOME ETF,124991547,40384671,84606876
2026-03-10,1M,미국,10,미국,US9229083632,VANGUARD SP 500 ETF SPLR 39326002188 US9229084135,187775586,104877055,82898531
2026-03-10,1M,미국,11,미국,US1725731079,Circle Internet,196961464,116041507,80919956
2026-03-10,1M,미국,12,미국,US92864M7983,VOLATILITY SHARES TRUST 2X ETHER ETF NEW SPLR 974476707 US92864M4006,138553336,66343235,72210101
2026-03-10,1M,미국,13,미국,CA85207K1075,SPROTT PHYSICAL SILVER TRUST,95588532,24902925,70685606
2026-03-10,1M,미국,14,미국,US68389X1054,ORACLE CORP,137959851,74402100,63557751
2026-03-10,1M,미국,15,미국,US8740391003,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD ADR,156528628,93583982,62944645
2026-03-10,1M,미국,16,미국,US46222L1089,IONQ INC,242083563,181263662,60819901
2026-03-10,1M,미국,17,미국,US74347R2067,PROSHARES ULTRA QQQ ETF,130720394,73122589,57597805
2026-03-10,1M,미국,18,미국,US03823U1025,APPLIED OPTOELECTRONICS INC,66004563,12625339,53379224
2026-03-10,1M,미국,19,미국,US30231G1022,EXXON MOBIL CORP,80731636,27588447,53143189
2026-03-10,1M,미국,20,미국,US67079K1007,NUSCALE POWER CORP CL A MRGR 009185329 KYG8377A1085,115031352,63172841,51858512
2026-03-10,1M,미국,21,미국,US09175A2069,BITMINE IMMERSION TECHNOLOGI,87408304,41129196,46279108
2026-03-10,1M,미국,22,미국,US78433H6751,NEOS NASDAQ 100 HIGH INCOME ETF,67071149,22757722,44313427
2026-03-10,1M,미국,23,미국,US3463751087,FORMFACTOR INC,45974091,3214742,42759349
2026-03-10,1M,미국,24,미국,US81369Y5069,ENERGY SELECT SECTOR SPDR ETF,54294577,13762434,40532142
2026-03-10,1M,미국,25,미국,US25461A8669,DIREXION DAILY MSFT BULL 1 5X ETF,71609370,31906451,39702919
2026-03-10,1M,미국,26,미국,US92189H3003,VANECK JP MORGAN EM LOCAL CURRENCY BOND ETF,49342062,10183913,39158149
2026-03-10,1M,미국,27,미국,US22266T1097,COUPANG INC,85417508,47893107,37524402
2026-03-10,1M,미국,28,미국,US46137V3574,INVESCO SP 500 EQUAL WEIGHT ETF CHAN 005862946 US7393718132,46171811,9492166,36679645
2026-03-10,1M,미국,29,미국,KYG651631007,JOBY AVIATION INC EXOF 008448244 KYG7483N1117,64317981,28705625,35612356
2026-03-10,1M,미국,30,미국,US9807451037,WOODWARD INC,35470928,1634843,33836086
2026-03-10,1M,미국,31,미국,US8816242098,TEVA PHARMACEUTICAL INDUSTRIES LTD ADR,37608572,3963441,33645131
2026-03-10,1M,미국,32,미국,US9255501051,VIAVI SOLUTIONS INC CHAN 39521202055 US46612J5074,45766580,12312424,33454156
2026-03-10,1M,미국,33,미국,US19247G1076,II-VI INCORPORATED Com CHAN 009623241 US9021041085,88205160,55394160,32811000
2026-03-10,1M,미국,34,미국,US38747R8016,GRNTSHR 2X ETF,64063690,32638086,31425603
2026-03-10,1M,미국,35,미국,US26923Q5642,T-REX 2X LONG BMNR DAILY TARGET ETF,43529929,13089399,30440530
2026-03-10,1M,미국,36,미국,US19260Q1076,COINBASE GLOBAL INC,82618323,52649318,29969005
2026-03-10,1M,미국,37,미국,US72703X1063,PLANET LABS PBC,60120841,31016745,29104096
2026-03-10,1M,미국,38,미국,US92864M3016,2X BITCOIN STRATEGY ETF,74116648,45968556,28148092
2026-03-10,1M,미국,39,미국,US1049322076,BRAND ENGAGEMENT NETWORK IN COM USD0.0001(PST RV SPT) SPLR 987177411 US1049321086,39097624,11793350,27304274
2026-03-10,1M,미국,40,미국,US78464A8541,SPDR PORTFOLIO SP 500 ETF,67129860,41093989,26035871
2026-03-10,1M,미국,41,미국,US6701002056,NOVO NORDISK A/S ADR,52900344,28069592,24830752
2026-03-10,1M,미국,42,미국,US8807701029,TERADYNE INC,68182957,44383483,23799474
2026-03-10,1M,미국,43,미국,US88636W6509,DEFIANCE DAILY TARGET 2X LONG IREN ETF,138634031,114841233,23792798
2026-03-10,1M,미국,44,미국,US7707001027,ROBINHOOD MARKETS INC,67012353,44563199,22449154
2026-03-10,1M,미국,45,미국,US36828A1016,GE Vernova,67468086,45251988,22216098
2026-03-10,1M,미국,46,미국,US1999081045,COMFORT SYSTEMS USA INC,25564452,4505492,21058960
2026-03-10,1M,미국,47,미국,US0079031078,ADVANCED MICRO DEVICES INC,178003684,158955759,19047926
