date,period,country_filter,rank,country,isin,name,buy_amount,sell_amount,net_buy_amount
2026-05-18,1W,전체,1,미국,US5951121038,MICRON TECHNOLOGY INC,344196645,122069007,222127639
2026-05-18,1W,전체,2,미국,US46152A6689,TRADR 2X LONG SNDK DAILY ETF,262272324,108045612,154226712
2026-05-18,1W,전체,3,미국,US4581401001,INTEL CORP,298467701,154675930,143791772
2026-05-18,1W,전체,4,미국,US02079K3059,ALPHABET INC CL A,188967709,72842027,116125682
2026-05-18,1W,전체,5,미국,US46138G6492,INVESCO NASDAQ 100 ETF,123514159,9281725,114232434
2026-05-18,1W,전체,6,미국,US1725731079,Circle Internet,124920191,29725229,95194962
2026-05-18,1W,전체,7,미국,US77926X3200,ROUNDHILL MEMORY ETF,166781205,77515140,89266065
2026-05-18,1W,전체,8,미국,US25459W4583,DIREXION DAILY SEMICONDUCTORS BULL 3X SHS ETF,1214665682,1131102716,83562966
2026-05-18,1W,전체,9,일본,JP3236330001,KIOXIA HOLDINGS,94791865,20651779,74140086
2026-05-18,1W,전체,10,미국,US4642872000,ISHARES CORE SP 500 ETF,63269071,6122470,57146600
2026-05-18,1W,전체,11,미국,US46090E1038,INVESCO QQQ TRUST SRS 1 ETF,79658962,23794732,55864231
2026-05-18,1W,전체,12,미국,NL0009805522,YANDEX NV CL A,71385729,16834095,54551634
2026-05-18,1W,전체,13,미국,US5738741041,MARVELL TECHNOLOGY INC,58918232,13772926,45145306
2026-05-18,1W,전체,14,미국,US87975E7765,Tema Space Innovators ETF,45905866,1776724,44129142
2026-05-18,1W,전체,15,미국,US0937121079,BLOOM ENERGY CORP CL A,65909705,22047501,43862204
2026-05-18,1W,전체,16,미국,US03823U1025,APPLIED OPTOELECTRONICS INC,83893390,42651047,41242343
2026-05-18,1W,전체,17,미국,US4642867729,ISHARES MSCI SOUTH KOREA ETF,49171208,9168955,40002253
2026-05-18,1W,전체,18,미국,US0079031078,ADVANCED MICRO DEVICES INC,141997474,102056081,39941392
2026-05-18,1W,전체,19,미국,US24703L2025,DELL TECHNOLOGIES INC CL C MRGR 006138875 US24703L1035,45966911,7024147,38942763
2026-05-18,1W,전체,20,미국,US25461H5726,DIREXION SHARES ETF TRUST DAILY SEMICONDUCTOR BEAR 3X SHS (R,102089109,65627860,36461249
2026-05-18,1W,전체,21,미국,US67066G1040,NVIDIA CORP,274863016,238676717,36186299
2026-05-18,1W,전체,22,미국,US74347R2067,PROSHARES ULTRA QQQ ETF,56109198,20198837,35910361
2026-05-18,1W,전체,23,미국,US2193501051,CORNING INC,48215193,13673288,34541904
2026-05-18,1W,전체,24,미국,US6078281002,MODINE MANUFACTURING CO,33392012,909900,32482111
2026-05-18,1W,전체,25,미국,US9229083632,VANGUARD SP 500 ETF SPLR 39326002188 US9229084135,46393426,13976774,32416652
2026-05-18,1W,전체,26,미국,US15675D1037,CEREBRAS SYSTEMS INC,32748919,922713,31826206
2026-05-18,1W,전체,27,미국,US97785W1062,WOLFSPEED INC/DE WOLFSPEED INC/DE EXOF 985462627 US9778521024,36225941,4619204,31606737
2026-05-18,1W,전체,28,미국,US38747R5533,GRANITESHARES 2X LONG INTC DAILY ETF,51564541,19998721,31565820
2026-05-18,1W,전체,29,미국,US82982T1060,SITIME CORP,31445338,1632049,29813289
2026-05-18,1W,전체,30,미국,US7475251036,QUALCOMM INC,65200920,36761466,28439454
2026-05-18,1W,전체,31,미국,US88636W1716,DEF DAILY T2X SHORT RKLB ETF SPLR 2641253849002 US88636V8274,30429523,5299565,25129958
2026-05-18,1W,전체,32,미국,US92189F6768,VANECK SEMICONDUCTOR ETF CHAN 39610601171 US57060U2336,32971283,8536039,24435243
2026-05-18,1W,전체,33,미국,US90138F1021,TWILIO INC CL A,25556056,2198173,23357883
2026-05-18,1W,전체,34,미국,US22266T1097,COUPANG INC,29363742,6111217,23252525
2026-05-18,1W,전체,35,미국,US82706C1080,SILICON MOTION TECHNOLOGY CORP ADR,26256880,3620516,22636365
2026-05-18,1W,전체,36,미국,US46152A6507,TRADR 2X LONG LITE DAILY ETF,37915154,18473659,19441495
2026-05-18,1W,전체,37,미국,US74350P5439,ProShares Ultra CRCL ETF,31294167,13407924,17886242
2026-05-18,1W,전체,38,미국,US8085247976,SCHWAB US DIVIDEND EQUITY ETF,46302667,28742503,17560164
2026-05-18,1W,전체,39,홍콩,HK0000637832,GLOBAL X CHINA SEMICONDUCTOR ETF (HKD),16262925,687945,15574980
2026-05-18,1W,전체,40,미국,US78433H6751,NEOS NASDAQ 100 HIGH INCOME ETF,22314439,6960692,15353747
2026-05-18,1W,전체,41,미국,US25461A5285,DXN MU BUL2X ETF,137704600,122788837,14915763
2026-05-18,1W,전체,42,미국,US02079K1079,ALPHABET INC CL C CHAN 39527405649 US38259P7069,26119585,11631552,14488033
2026-05-18,1W,전체,43,미국,US00971T1016,AKAMAI TECHNOLOGIES INC,14444131,769802,13674329
2026-05-18,1W,전체,44,미국,US88340C1642,LEVERAGE SHARES 2X CRCL SPLR 2641675233002 US88340C7011,22654831,9091196,13563635
2026-05-18,1W,전체,45,미국,US00217D1000,AST SPACEMOBILE INC CL A EXOF 008072919 US64822P2056,41703677,29121970,12581707
2026-05-18,1W,전체,46,미국,US34631F1021,FORGENT POWER SOLUTIONS INC,14672665,2254938,12417727
2026-05-18,1W,전체,47,미국,IL0010823792,TOWER SEMICONDUCTOR LTD,19468359,7325017,12143342
2026-05-18,1W,전체,48,미국,US0382221051,APPLIED MATERIALS INC,17045048,4928403,12116645
2026-05-18,1W,전체,49,미국,US5801351017,MCDONALD'S CORP,12177092,439418,11737674
2026-05-18,1W,전체,50,미국,US88636V6781,DEFIANCE DAILY TARGET 2X LONG OKLO ETF,22381178,10827442,11553736
2026-05-18,1W,미국,1,미국,US5951121038,MICRON TECHNOLOGY INC,344196645,122069007,222127639
2026-05-18,1W,미국,2,미국,US46152A6689,TRADR 2X LONG SNDK DAILY ETF,262272324,108045612,154226712
2026-05-18,1W,미국,3,미국,US4581401001,INTEL CORP,298467701,154675930,143791772
