date,period,country_filter,rank,country,isin,name,buy_amount,sell_amount,net_buy_amount
2026-06-19,1W,전체,1,미국,US84615Q1031,SPACE EXPLORATION TECHN-CL A,2132898908,183295364,1949603544
2026-06-19,1W,전체,2,미국,US4642875235,ISHARES SEMICONDUCTOR ETF,218126527,109612156,108514371
2026-06-19,1W,전체,3,미국,US74347R2067,PROSHARES ULTRA QQQ ETF,97763753,7658364,90105389
2026-06-19,1W,전체,4,미국,US77926X3200,ROUNDHILL MEMORY ETF,128832688,42579047,86253642
2026-06-19,1W,전체,5,미국,US46138G6492,INVESCO NASDAQ 100 ETF,79736006,6704686,73031320
2026-06-19,1W,전체,6,미국,US46090E1038,INVESCO QQQ TRUST SRS 1 ETF,81587381,16171927,65415453
2026-06-19,1W,전체,7,미국,US88340W5250,LEVERAGE SHARES 2X LONG SPCX DAILY ETF,65653802,2893590,62760212
2026-06-19,1W,전체,8,미국,US74347X8314,PROSHARES ULTRAPRO QQQ ETF,120175614,58102961,62072653
2026-06-19,1W,전체,9,미국,US9229083632,VANGUARD SP 500 ETF SPLR 39326002188 US9229084135,61714516,6090770,55623745
2026-06-19,1W,전체,10,미국,US46152A6689,TRADR 2X LONG SNDK DAILY ETF,99568165,44469853,55098312
2026-06-19,1W,전체,11,미국,US5738741041,MARVELL TECHNOLOGY INC,119957188,70248305,49708883
2026-06-19,1W,전체,12,미국,US8085247976,SCHWAB US DIVIDEND EQUITY ETF,52639604,8075923,44563681
2026-06-19,1W,전체,13,미국,US0382221051,APPLIED MATERIALS INC,47396709,8083564,39313144
2026-06-19,1W,전체,14,미국,US0420682058,ARM HOLDINGS PLC SPON ADS EACH REP 1 ORD SHS,75719030,36885949,38833081
2026-06-19,1W,전체,15,미국,US25461A5285,DXN MU BUL2X ETF,131274330,93324125,37950205
2026-06-19,1W,전체,16,미국,US46222L1089,IONQ INC,54329198,18027189,36302009
2026-06-19,1W,전체,17,미국,US80004C2008,SNDSK CRP ORD WI,150363824,114223493,36140331
2026-06-19,1W,전체,18,미국,US88340C1568,LEVERAGE SHARES 2X CRWV SPLR 2641675201002 US88340C8753,37278935,5236088,32042847
2026-06-19,1W,전체,19,미국,US5949181045,MICROSOFT CORP,52795214,22701376,30093839
2026-06-19,1W,전체,20,미국,US46143U5424,TRADR 2X LONG ASTS DAILY ETF,36349847,7071800,29278048
2026-06-19,1W,전체,21,미국,US15675D1037,CEREBRAS SYSTEMS INC,33314980,5196628,28118353
2026-06-19,1W,전체,22,미국,US5128073062,LAM RESEARCH CORP COM USD0.001 (P/S) EXOF 965159710 US5128071082,41802924,14501209,27301715
2026-06-19,1W,전체,23,미국,US0937121079,BLOOM ENERGY CORP CL A,44123741,19220625,24903116
2026-06-19,1W,전체,24,미국,US67079K1007,NUSCALE POWER CORP CL A MRGR 009185329 KYG8377A1085,32828329,9740050,23088279
2026-06-19,1W,전체,25,미국,US21873S1087,CoreWeave Inc,30323933,7379774,22944160
2026-06-19,1W,전체,26,미국,US9581021055,WESTERN DIGITAL CORP,34446235,12954434,21491801
2026-06-19,1W,전체,27,일본,JP3236330001,KIOXIA HOLDINGS,68014042,46568981,21445061
2026-06-19,1W,전체,28,미국,USN070592100,ASML HOLDING NV ADR,37048311,15664442,21383869
2026-06-19,1W,전체,29,미국,US25461H5726,DIREXION SHARES ETF TRUST DAILY SEMICONDUCTOR BEAR 3X SHS (R,105620599,85403545,20217054
2026-06-19,1W,전체,30,미국,US92189F6768,VANECK SEMICONDUCTOR ETF CHAN 39610601171 US57060U2336,34210170,14295821,19914349
2026-06-19,1W,전체,31,미국,US78433H6751,NEOS NASDAQ 100 HIGH INCOME ETF,23039980,4367695,18672285
2026-06-19,1W,전체,32,미국,US7731211089,ROCKET LAB CORPORATION COM USD0.0001 MRGR 978814817 US7731221062,85953289,68137106,17816182
2026-06-19,1W,전체,33,미국,US74347R6696,PROSHARES ULTRA SEMICONDUCTORS ETF,24830355,7134806,17695549
2026-06-19,1W,전체,34,미국,US88636R2224,DEFIANCE DAILY TARGET 2X LONG RKLB ETF,37123870,19462400,17661469
2026-06-19,1W,전체,35,미국,US4663131039,JABIL INC,18953355,1924086,17029270
2026-06-19,1W,전체,36,미국,US1725731079,Circle Internet,32871935,16329102,16542833
2026-06-19,1W,전체,37,미국,US78464A8541,SPDR PORTFOLIO SP 500 ETF,18668319,2736883,15931436
2026-06-19,1W,전체,38,미국,US2193501051,CORNING INC,20959349,5780659,15178690
2026-06-19,1W,전체,39,미국,NL0009805522,YANDEX NV CL A,22743711,7969863,14773848
2026-06-19,1W,전체,40,미국,US26923W1999,T-REX 2X LONG RDW DAILY TARGET ETF,19614770,4923288,14691482
2026-06-19,1W,전체,41,미국,US88340W5177,LEVERAGE SHARES SPCX DAILY -2X,20573976,6488422,14085554
2026-06-19,1W,전체,42,미국,US44812J1043,HUT 8 CORP,14286724,293227,13993497
2026-06-19,1W,전체,43,미국,US25461A8669,DIREXION DAILY MSFT BULL 1 5X ETF,19048285,5363530,13684755
2026-06-19,1W,전체,44,미국,US26923N1735,T-REX 2X LONG MSTR DAILY TARGET ETF,18675783,5844086,12831698
2026-06-19,1W,전체,45,미국,US45676K1034,INFLEQTION INC MRGR 2641200547002 KYG2130T1242,13849833,1658855,12190978
2026-06-19,1W,전체,46,미국,US88636Y5087,DEFIANCE DAILY TARGET 2X LONG IONQ ETF,18297636,7185464,11112172
2026-06-19,1W,전체,47,미국,US92835K1034,VISHAY PRECISION GROUP INC,11921160,1246290,10674870
2026-06-19,1W,전체,48,미국,US76655K1034,RIGETTI COMPUTING INC MRGR 008989411 KYG8T86C1136,18306036,7814296,10491740
2026-06-19,1W,전체,49,미국,KYG4289N1300,PARANOVUS ENTERTAINMENT TECHNOLOGY SPLR 2641368074002 KYG4289N1227,11013810,633705,10380105
