date,period,country_filter,rank,country,isin,name,buy_amount,sell_amount,net_buy_amount
2026-06-23,1M,전체,1,미국,US84615Q1031,SPACE EXPLORATION TECHN-CL A,2201237238,313905244,1887331994
2026-06-23,1M,전체,2,미국,US5951121038,MICRON TECHNOLOGY INC,1539358008,827613601,711744407
2026-06-23,1M,전체,3,미국,US5738741041,MARVELL TECHNOLOGY INC,829300281,344292886,485007395
2026-06-23,1M,전체,4,미국,US0420682058,ARM HOLDINGS PLC SPON ADS EACH REP 1 ORD SHS,440944970,169049514,271895456
2026-06-23,1M,전체,5,미국,US77926X3200,ROUNDHILL MEMORY ETF,429899913,161331437,268568476
2026-06-23,1M,전체,6,미국,US46138G6492,INVESCO NASDAQ 100 ETF,283745161,30809022,252936138
2026-06-23,1M,전체,7,미국,US4642875235,ISHARES SEMICONDUCTOR ETF,535791095,288261585,247529509
2026-06-23,1M,전체,8,미국,US74347R2067,PROSHARES ULTRA QQQ ETF,237777638,41374129,196403509
2026-06-23,1M,전체,9,미국,US87975E7765,Tema Space Innovators ETF,297039774,136464450,160575324
2026-06-23,1M,전체,10,미국,US25461A5285,DXN MU BUL2X ETF,566927250,419839839,147087411
2026-06-23,1M,전체,11,미국,US46090E1038,INVESCO QQQ TRUST SRS 1 ETF,228990175,85357872,143632302
2026-06-23,1M,전체,12,미국,US88340W5250,LEVERAGE SHARES 2X LONG SPCX DAILY ETF,128376693,7594082,120782612
2026-06-23,1M,전체,13,미국,US8085247976,SCHWAB US DIVIDEND EQUITY ETF,182670629,62443826,120226803
2026-06-23,1M,전체,14,미국,US9229083632,VANGUARD SP 500 ETF SPLR 39326002188 US9229084135,161536185,47062371,114473814
2026-06-23,1M,전체,15,미국,US11135F1012,BROADCOM INC EXOF 005644980 SG9999014823,331546843,219071531,112475311
2026-06-23,1M,전체,16,미국,US4592001014,INTERNATIONAL BUSINESS MACHINES CORP,178478580,66713777,111764802
2026-06-23,1M,전체,17,미국,US25461H5726,DIREXION SHARES ETF TRUST DAILY SEMICONDUCTOR BEAR 3X SHS (R,376190225,265207459,110982766
2026-06-23,1M,전체,18,미국,US21873S1087,CoreWeave Inc,161301049,59060689,102240359
2026-06-23,1M,전체,19,미국,NL0009805522,YANDEX NV CL A,134683951,44158272,90525679
2026-06-23,1M,전체,20,미국,US25402D1028,DIGITALOCEAN HOLDINGS INC,95114713,6371760,88742953
2026-06-23,1M,전체,21,미국,US34379V1035,FLUENCE ENERGY INC,109229987,22654028,86575958
2026-06-23,1M,전체,22,미국,US83417M1045,SOLAREDGE TECHNOLOGIES INC,93866077,9608508,84257569
2026-06-23,1M,전체,23,미국,US38747R5202,GRANITESHARES 2X LONG MRVL DAILY ETF,169159297,86245440,82913857
2026-06-23,1M,전체,24,미국,US8334451098,SNOWFLAKE INC,108108010,27532277,80575733
2026-06-23,1M,전체,25,미국,US88636R2224,DEFIANCE DAILY TARGET 2X LONG RKLB ETF,133355630,67560708,65794923
2026-06-23,1M,전체,26,미국,US15675D1037,CEREBRAS SYSTEMS INC,89255306,31146636,58108670
2026-06-23,1M,전체,27,일본,JP3914400001,MURATA MANUFACTURING CO LTD,96449224,50415424,46033799
2026-06-23,1M,전체,28,미국,US0382221051,APPLIED MATERIALS INC,72057977,27577129,44480848
2026-06-23,1M,전체,29,미국,US92189F6768,VANECK SEMICONDUCTOR ETF CHAN 39610601171 US57060U2336,91407868,48808035,42599833
2026-06-23,1M,전체,30,미국,US24703L2025,DELL TECHNOLOGIES INC CL C MRGR 006138875 US24703L1035,155446369,114093083,41353286
2026-06-23,1M,전체,31,미국,US26923W1999,T-REX 2X LONG RDW DAILY TARGET ETF,85583781,47049858,38533923
2026-06-23,1M,전체,32,미국,US4576422053,INNODATA CORP,52760527,14561163,38199364
2026-06-23,1M,전체,33,미국,US45676K1034,INFLEQTION INC MRGR 2641200547002 KYG2130T1242,67455344,29264905,38190439
2026-06-23,1M,전체,34,미국,US5128073062,LAM RESEARCH CORP COM USD0.001 (P/S) EXOF 965159710 US5128071082,74640597,36502248,38138349
2026-06-23,1M,전체,35,미국,US26923N1735,T-REX 2X LONG MSTR DAILY TARGET ETF,67342145,29568215,37773930
2026-06-23,1M,전체,36,미국,US88340C1568,LEVERAGE SHARES 2X CRWV SPLR 2641675201002 US88340C8753,51917384,15991336,35926048
2026-06-23,1M,전체,37,미국,US78464A8541,SPDR PORTFOLIO SP 500 ETF,51993988,16863667,35130321
2026-06-23,1M,전체,38,미국,US82706C1080,SILICON MOTION TECHNOLOGY CORP ADR,39456562,5009922,34446641
2026-06-23,1M,전체,39,미국,KYG393871085,GLOBALFOUNDRIES INC,45617120,12117592,33499528
2026-06-23,1M,전체,40,미국,US92864M7983,VOLATILITY SHARES TRUST 2X ETHER ETF NEW SPLR 974476707 US92864M4006,56170408,25019038,31151370
2026-06-23,1M,전체,41,미국,US9581021055,WESTERN DIGITAL CORP,68163556,37283002,30880554
2026-06-23,1M,전체,42,미국,US38747R8016,GRNTSHR 2X ETF,48027523,17237743,30789779
2026-06-23,1M,전체,43,미국,US25461A5699,Direxion Daily AVGO Bull 2X Shares,42852006,14112265,28739741
2026-06-23,1M,전체,44,미국,US44812J1043,HUT 8 CORP,30153588,2255844,27897745
2026-06-23,1M,전체,45,미국,US88636J2380,DEFIANCE DAILY TARGET 2X LONG AVGO ETF,53617575,26707076,26910500
2026-06-23,1M,전체,46,미국,US19247G1076,II-VI INCORPORATED Com CHAN 009623241 US9021041085,77847579,50989039,26858540
2026-06-23,1M,전체,47,미국,US88636X6250,DEFIANCE DAILY TARGET 2X LONG PL ETF,39200982,12955700,26245282
2026-06-23,1M,전체,48,미국,US65290E1010,NEXTRACKER INC,29372727,3195609,26177118
2026-06-23,1M,전체,49,미국,US60937P1066,MONGODB INC,62197047,38108878,24088168
2026-06-23,1M,전체,50,미국,US88636Y1029,DEFIANCE DAILY TARGET 2X LONG RGTI ETF,71493009,49237029,22255980
2026-06-23,1M,미국,1,미국,US84615Q1031,SPACE EXPLORATION TECHN-CL A,2201237238,313905244,1887331994
2026-06-23,1M,미국,2,미국,US5951121038,MICRON TECHNOLOGY INC,1539358008,827613601,711744407
2026-06-23,1M,미국,3,미국,US5738741041,MARVELL TECHNOLOGY INC,829300281,344292886,485007395
2026-06-23,1M,미국,4,미국,US0420682058,ARM HOLDINGS PLC SPON ADS EACH REP 1 ORD SHS,440944970,169049514,271895456
2026-06-23,1M,미국,5,미국,US77926X3200,ROUNDHILL MEMORY ETF,429899913,161331437,268568476
2026-06-23,1M,미국,6,미국,US46138G6492,INVESCO NASDAQ 100 ETF,283745161,30809022,252936138
2026-06-23,1M,미국,7,미국,US4642875235,ISHARES SEMICONDUCTOR ETF,535791095,288261585,247529509
2026-06-23,1M,미국,8,미국,US74347R2067,PROSHARES ULTRA QQQ ETF,237777638,41374129,196403509
2026-06-23,1M,미국,9,미국,US87975E7765,Tema Space Innovators ETF,297039774,136464450,160575324
2026-06-23,1M,미국,10,미국,US25461A5285,DXN MU BUL2X ETF,566927250,419839839,147087411
2026-06-23,1M,미국,11,미국,US46090E1038,INVESCO QQQ TRUST SRS 1 ETF,228990175,85357872,143632302
2026-06-23,1M,미국,12,미국,US88340W5250,LEVERAGE SHARES 2X LONG SPCX DAILY ETF,128376693,7594082,120782612
2026-06-23,1M,미국,13,미국,US8085247976,SCHWAB US DIVIDEND EQUITY ETF,182670629,62443826,120226803
2026-06-23,1M,미국,14,미국,US9229083632,VANGUARD SP 500 ETF SPLR 39326002188 US9229084135,161536185,47062371,114473814
2026-06-23,1M,미국,15,미국,US11135F1012,BROADCOM INC EXOF 005644980 SG9999014823,331546843,219071531,112475311
2026-06-23,1M,미국,16,미국,US4592001014,INTERNATIONAL BUSINESS MACHINES CORP,178478580,66713777,111764802
2026-06-23,1M,미국,17,미국,US25461H5726,DIREXION SHARES ETF TRUST DAILY SEMICONDUCTOR BEAR 3X SHS (R,376190225,265207459,110982766
2026-06-23,1M,미국,18,미국,US21873S1087,CoreWeave Inc,161301049,59060689,102240359
2026-06-23,1M,미국,19,미국,NL0009805522,YANDEX NV CL A,134683951,44158272,90525679
2026-06-23,1M,미국,20,미국,US25402D1028,DIGITALOCEAN HOLDINGS INC,95114713,6371760,88742953
2026-06-23,1M,미국,21,미국,US34379V1035,FLUENCE ENERGY INC,109229987,22654028,86575958
2026-06-23,1M,미국,22,미국,US83417M1045,SOLAREDGE TECHNOLOGIES INC,93866077,9608508,84257569
2026-06-23,1M,미국,23,미국,US38747R5202,GRANITESHARES 2X LONG MRVL DAILY ETF,169159297,86245440,82913857
2026-06-23,1M,미국,24,미국,US8334451098,SNOWFLAKE INC,108108010,27532277,80575733
2026-06-23,1M,미국,25,미국,US88636R2224,DEFIANCE DAILY TARGET 2X LONG RKLB ETF,133355630,67560708,65794923
2026-06-23,1M,미국,26,미국,US15675D1037,CEREBRAS SYSTEMS INC,89255306,31146636,58108670
2026-06-23,1M,미국,27,미국,US0382221051,APPLIED MATERIALS INC,72057977,27577129,44480848
2026-06-23,1M,미국,28,미국,US92189F6768,VANECK SEMICONDUCTOR ETF CHAN 39610601171 US57060U2336,91407868,48808035,42599833
2026-06-23,1M,미국,29,미국,US24703L2025,DELL TECHNOLOGIES INC CL C MRGR 006138875 US24703L1035,155446369,114093083,41353286
2026-06-23,1M,미국,30,미국,US26923W1999,T-REX 2X LONG RDW DAILY TARGET ETF,85583781,47049858,38533923
2026-06-23,1M,미국,31,미국,US4576422053,INNODATA CORP,52760527,14561163,38199364
2026-06-23,1M,미국,32,미국,US45676K1034,INFLEQTION INC MRGR 2641200547002 KYG2130T1242,67455344,29264905,38190439
2026-06-23,1M,미국,33,미국,US5128073062,LAM RESEARCH CORP COM USD0.001 (P/S) EXOF 965159710 US5128071082,74640597,36502248,38138349
2026-06-23,1M,미국,34,미국,US26923N1735,T-REX 2X LONG MSTR DAILY TARGET ETF,67342145,29568215,37773930
2026-06-23,1M,미국,35,미국,US88340C1568,LEVERAGE SHARES 2X CRWV SPLR 2641675201002 US88340C8753,51917384,15991336,35926048
2026-06-23,1M,미국,36,미국,US78464A8541,SPDR PORTFOLIO SP 500 ETF,51993988,16863667,35130321
2026-06-23,1M,미국,37,미국,US82706C1080,SILICON MOTION TECHNOLOGY CORP ADR,39456562,5009922,34446641
2026-06-23,1M,미국,38,미국,KYG393871085,GLOBALFOUNDRIES INC,45617120,12117592,33499528
2026-06-23,1M,미국,39,미국,US92864M7983,VOLATILITY SHARES TRUST 2X ETHER ETF NEW SPLR 974476707 US92864M4006,56170408,25019038,31151370
2026-06-23,1M,미국,40,미국,US9581021055,WESTERN DIGITAL CORP,68163556,37283002,30880554
2026-06-23,1M,미국,41,미국,US38747R8016,GRNTSHR 2X ETF,48027523,17237743,30789779
2026-06-23,1M,미국,42,미국,US25461A5699,Direxion Daily AVGO Bull 2X Shares,42852006,14112265,28739741
2026-06-23,1M,미국,43,미국,US44812J1043,HUT 8 CORP,30153588,2255844,27897745
2026-06-23,1M,미국,44,미국,US88636J2380,DEFIANCE DAILY TARGET 2X LONG AVGO ETF,53617575,26707076,26910500
2026-06-23,1M,미국,45,미국,US19247G1076,II-VI INCORPORATED Com CHAN 009623241 US9021041085,77847579,50989039,26858540
2026-06-23,1M,미국,46,미국,US88636X6250,DEFIANCE DAILY TARGET 2X LONG PL ETF,39200982,12955700,26245282
2026-06-23,1M,미국,47,미국,US65290E1010,NEXTRACKER INC,29372727,3195609,26177118
2026-06-23,1M,미국,48,미국,US60937P1066,MONGODB INC,62197047,38108878,24088168
2026-06-23,1M,미국,49,미국,US88636Y1029,DEFIANCE DAILY TARGET 2X LONG RGTI ETF,71493009,49237029,22255980
2026-06-23,1M,미국,50,미국,US46654Q2030,J.P. MORGAN NASDAQ EQUITY PREMIUM INCOME ETF,68033733,47717480,20316254
2026-06-23,1M,홍콩,1,홍콩,HK0000637832,GLOBAL X CHINA SEMICONDUCTOR ETF (HKD),21256699,3405530,17851169
2026-06-23,1M,홍콩,2,홍콩,CNE100006WS8,CATL ORD H,7397473,4489204,2908270
2026-06-23,1M,홍콩,3,홍콩,HK0001311718,SOFTMEDX HEALTHCARE LTD SOFTMEDX HEALTHCARE LTD SPLR 995496857 HK0000375797,3428439,536432,2892007
2026-06-23,1M,홍콩,4,홍콩,HK0000248234,CSOP SZSE CHINEXT ETF (HKD),2581061,19632,2561429
2026-06-23,1M,홍콩,5,홍콩,BMG2233G2014,CMBC CAPITAL HOLDINGS LTD PARI 008855698 BMG2233G3004,2547223,83796,2463427
2026-06-23,1M,홍콩,6,홍콩,HK0000702735,CSOP STAR 50 INDEX ETF,5813098,3518221,2294877
2026-06-23,1M,홍콩,7,홍콩,KYG6181S1093,00100,5409631,3474448,1935183
2026-06-23,1M,홍콩,8,홍콩,HK0001185096,NATIONAL UNITED RESOURCES H NATIONAL UNITED RESOURCES HO PARI 983833977 HK0001185088,2109878,745419,1364459
2026-06-23,1M,홍콩,9,홍콩,CNE100006QG5,INNOSCIENCE,3473538,2410904,1062634
2026-06-23,1M,홍콩,10,홍콩,KYG6471S1084,New Gonow,826635,63790,762845
2026-06-23,1M,홍콩,11,홍콩,HK0000218211,HUA HONG SEMICONDUCTOR LTD,6975589,6234767,740822
2026-06-23,1M,홍콩,12,홍콩,CNE1000002Q2,CHINA PETROLEUM AND CHEMICAL CORP-H,788740,122485,666254
2026-06-23,1M,홍콩,13,홍콩,CNE100007DJ5,03986,4088097,3508467,579630
2026-06-23,1M,홍콩,14,홍콩,CNE1000062J1,SKB BIO-B,522255,54306,467949
2026-06-23,1M,홍콩,15,홍콩,HK0000637857,GLOBAL X CHINA ROBOTICS AND AI ETF (HKD),1476212,1054913,421299
2026-06-23,1M,홍콩,16,홍콩,HK0000672946,CSOP HANG SENG TECH INDEX DAILY 2X LEVERAGED ETF,608455,201539,406916
2026-06-23,1M,홍콩,17,홍콩,CNE100000304,DONGFANG ELECTRIC CORP LTD-H,478892,78342,400549
2026-06-23,1M,홍콩,18,홍콩,CNE100004QP1,SHANGHAI MICROPORT MEDBOT GROUP CO LTD-H RHTS 008268588 KYG608371046,372651,18070,354581
2026-06-23,1M,홍콩,19,홍콩,CNE100000PP1,XINJIANG GOLDWIND SCIENCE AND TECHNOLOGY CO LTD-H,478009,170528,307481
2026-06-23,1M,홍콩,20,홍콩,KYG0535Q1331,ASM PACIFIC TECHNOLOGY LTD,424791,150164,274627
2026-06-23,1M,홍콩,21,홍콩,HK0000123577,CHINAAMC CSI 300 INDEX ETF HKD,1477978,1218270,259708
2026-06-23,1M,홍콩,22,홍콩,CNE1000003W8,PETROCHINA CO LTD-H,331293,79015,252278
2026-06-23,1M,홍콩,23,홍콩,KYG211501005,CHINA HONGQIAO GROUP LTD,400247,184244,216003
2026-06-23,1M,홍콩,24,홍콩,HK0000736774,CSOP HUATAI PINEBRIDGE CSI PHOTOVOLTAIC INDUSTRY ETF,540103,358605,181497
2026-06-23,1M,홍콩,25,홍콩,KYG4417G1064,02525,244301,88171,156130
2026-06-23,1M,홍콩,26,홍콩,CNE100007DG1,OMNIVISION INT-H,156031,7125,148906
2026-06-23,1M,홍콩,27,홍콩,CNE100000510,SHANGHAI FUDAN MICROELECTRONICS GROUP-H,115044,0,115044
2026-06-23,1M,홍콩,28,홍콩,KYG9541D1438,WELLCELL H-NEW,136918,34444,102475
2026-06-23,1M,홍콩,29,홍콩,CNE100006QF7,Dobot,217839,144982,72857
2026-06-23,1M,홍콩,30,홍콩,KYG596691041,MEITUAN,1086833,1014199,72634
