date,period,country_filter,rank,country,isin,name,buy_amount,sell_amount,net_buy_amount
2026-07-03,1W,전체,1,미국,US5951121038,MICRON TECHNOLOGY INC,604585167,297578749,307006418
2026-07-03,1W,전체,2,미국,US26923V4150,ROUNDHILL T-REX 2X LONG DRAM DAILY TARGET ETF,242910463,21268360,221642103
2026-07-03,1W,전체,3,미국,US25459W4583,DIREXION DAILY SEMICONDUCTORS BULL 3X SHS ETF,1769912995,1574457184,195455810
2026-07-03,1W,전체,4,미국,US0382221051,APPLIED MATERIALS INC,125240403,17867549,107372854
2026-07-03,1W,전체,5,미국,US1491231015,CATERPILLAR INC,97628277,1578449,96049829
2026-07-03,1W,전체,6,미국,US74347R2067,PROSHARES ULTRA QQQ ETF,98452057,11900759,86551298
2026-07-03,1W,전체,7,미국,US80004C2008,SNDSK CRP ORD WI,254780983,174984003,79796980
2026-07-03,1W,전체,8,미국,US25461A3876,DIREXION SHARES ETF TRUST DAILY MSCI SOUTH KOREA BULL SPLR 970211833 US25459Y5208,205564233,133286512,72277720
2026-07-03,1W,전체,9,미국,US46138G6492,INVESCO NASDAQ 100 ETF,64584705,7954281,56630425
2026-07-03,1W,전체,10,미국,US6792951054,OKTA INC,53385770,241004,53144766
2026-07-03,1W,전체,11,미국,US7731211089,ROCKET LAB CORPORATION COM USD0.0001 MRGR 978814817 US7731221062,94176632,44675581,49501051
2026-07-03,1W,전체,12,미국,US9229083632,VANGUARD SP 500 ETF SPLR 39326002188 US9229084135,55767057,7950993,47816064
2026-07-03,1W,전체,13,미국,US5949181045,MICROSOFT CORP,63669925,17469139,46200786
2026-07-03,1W,전체,14,미국,US0937121079,BLOOM ENERGY CORP CL A,71397376,26045935,45351442
2026-07-03,1W,전체,15,미국,US46152A6689,TRADR 2X LONG SNDK DAILY ETF,144206491,99215825,44990666
2026-07-03,1W,전체,16,미국,US4642875235,ISHARES SEMICONDUCTOR ETF,149744526,105262314,44482212
2026-07-03,1W,전체,17,미국,US77926X3200,ROUNDHILL MEMORY ETF,165715246,122949230,42766016
2026-07-03,1W,전체,18,미국,US4581401001,INTEL CORP,100992299,59253331,41738968
2026-07-03,1W,전체,19,미국,US84615Q1031,SPACE EXPLORATION TECHN-CL A,130687011,88977287,41709724
2026-07-03,1W,전체,20,미국,US74347X8314,PROSHARES ULTRAPRO QQQ ETF,109092175,67693751,41398424
2026-07-03,1W,전체,21,미국,US46090E1038,INVESCO QQQ TRUST SRS 1 ETF,53154619,19917049,33237570
2026-07-03,1W,전체,22,미국,US5128073062,LAM RESEARCH CORP COM USD0.001 (P/S) EXOF 965159710 US5128071082,53176476,23796571,29379906
2026-07-03,1W,전체,23,미국,US7391281067,POWELL INDUSTRIES INC,28873891,770930,28102961
2026-07-03,1W,전체,24,미국,US03823U1025,APPLIED OPTOELECTRONICS INC,39991190,12808784,27182406
2026-07-03,1W,전체,25,미국,US46654Q2030,J.P. MORGAN NASDAQ EQUITY PREMIUM INCOME ETF,31876276,6059645,25816631
2026-07-03,1W,전체,26,미국,US4333131039,HINGE HEALTH INC,25084948,144200,24940748
2026-07-03,1W,전체,27,미국,US90385V1070,ULTRA CLEAN HOLDINGS INC,22562742,203423,22359319
2026-07-03,1W,전체,28,미국,US9581021055,WESTERN DIGITAL CORP,32414905,10871141,21543764
2026-07-03,1W,전체,29,미국,US46222L1089,IONQ INC,42878901,21611383,21267518
2026-07-03,1W,전체,30,미국,US68389X1054,ORACLE CORP,29454451,8650439,20804012
2026-07-03,1W,전체,31,미국,US88636Y8883,DEFIAN DIY TT 2X LO IREN ETF SPLR 2641253609002 US88636W6509,22600351,1999877,20600474
2026-07-03,1W,전체,32,일본,JP3236330001,KIOXIA HOLDINGS,73089869,55782552,17307317
2026-07-03,1W,전체,33,미국,US21873S1087,CoreWeave Inc,75352258,59046090,16306168
2026-07-03,1W,전체,34,미국,US82706C1080,SILICON MOTION TECHNOLOGY CORP ADR,18612792,2361324,16251469
2026-07-03,1W,전체,35,미국,US46138G6153,INVESCO PHLX SEMICONDUCTOR ETF,30141678,14340597,15801081
2026-07-03,1W,전체,36,미국,US2193501051,CORNING INC,29388708,13718571,15670137
2026-07-03,1W,전체,37,미국,US02072L5654,ALPHA ARCHITECT 1-3 MONTH BOX ETF,25091874,10574560,14517314
2026-07-03,1W,전체,38,미국,US8740391003,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD ADR,43926101,29489622,14436478
2026-07-03,1W,전체,39,미국,US8085247976,SCHWAB US DIVIDEND EQUITY ETF,53468894,39291621,14177273
2026-07-03,1W,전체,40,미국,US26923W2153,T-REX 2X LONG SNDK DAILY TARGET ETF,32727738,19008842,13718896
2026-07-03,1W,전체,41,미국,KYG254571055,CREDO TECHNOLOGY GROUP HOLDING LTD,16770113,3091126,13678987
2026-07-03,1W,전체,42,미국,US92189F6768,VANECK SEMICONDUCTOR ETF CHAN 39610601171 US57060U2336,40421259,28638120,11783139
2026-07-03,1W,전체,43,미국,US78464A8541,SPDR PORTFOLIO SP 500 ETF,13674826,2553257,11121569
2026-07-03,1W,전체,44,미국,US25461A8669,DIREXION DAILY MSFT BULL 1 5X ETF,15273622,4203617,11070005
2026-07-03,1W,전체,45,미국,US4824801009,KLA CORP,20667886,9737790,10930096
2026-07-03,1W,전체,46,일본,JP3571400005,TOKYO ELECTRON LTD,17108350,6732599,10375751
2026-07-03,1W,전체,47,미국,US5738741041,MARVELL TECHNOLOGY INC,55365177,45147960,10217217
2026-07-03,1W,전체,48,미국,US46092D3769,TRADR 2X LONG BE DAILY ETF,12452026,2595400,9856627
2026-07-03,1W,전체,49,미국,US88636Y5087,DEFIANCE DAILY TARGET 2X LONG IONQ ETF,17361159,7505643,9855516
2026-07-03,1W,전체,50,미국,US26923N1735,T-REX 2X LONG MSTR DAILY TARGET ETF,13366875,3753622,9613253
2026-07-03,1W,미국,1,미국,US5951121038,MICRON TECHNOLOGY INC,604585167,297578749,307006418
2026-07-03,1W,미국,2,미국,US26923V4150,ROUNDHILL T-REX 2X LONG DRAM DAILY TARGET ETF,242910463,21268360,221642103
2026-07-03,1W,미국,3,미국,US25459W4583,DIREXION DAILY SEMICONDUCTORS BULL 3X SHS ETF,1769912995,1574457184,195455810
2026-07-03,1W,미국,4,미국,US0382221051,APPLIED MATERIALS INC,125240403,17867549,107372854
2026-07-03,1W,미국,5,미국,US1491231015,CATERPILLAR INC,97628277,1578449,96049829
2026-07-03,1W,미국,6,미국,US74347R2067,PROSHARES ULTRA QQQ ETF,98452057,11900759,86551298
2026-07-03,1W,미국,7,미국,US80004C2008,SNDSK CRP ORD WI,254780983,174984003,79796980
2026-07-03,1W,미국,8,미국,US25461A3876,DIREXION SHARES ETF TRUST DAILY MSCI SOUTH KOREA BULL SPLR 970211833 US25459Y5208,205564233,133286512,72277720
2026-07-03,1W,미국,9,미국,US46138G6492,INVESCO NASDAQ 100 ETF,64584705,7954281,56630425
2026-07-03,1W,미국,10,미국,US6792951054,OKTA INC,53385770,241004,53144766
2026-07-03,1W,미국,11,미국,US7731211089,ROCKET LAB CORPORATION COM USD0.0001 MRGR 978814817 US7731221062,94176632,44675581,49501051
2026-07-03,1W,미국,12,미국,US9229083632,VANGUARD SP 500 ETF SPLR 39326002188 US9229084135,55767057,7950993,47816064
2026-07-03,1W,미국,13,미국,US5949181045,MICROSOFT CORP,63669925,17469139,46200786
2026-07-03,1W,미국,14,미국,US0937121079,BLOOM ENERGY CORP CL A,71397376,26045935,45351442
2026-07-03,1W,미국,15,미국,US46152A6689,TRADR 2X LONG SNDK DAILY ETF,144206491,99215825,44990666
2026-07-03,1W,미국,16,미국,US4642875235,ISHARES SEMICONDUCTOR ETF,149744526,105262314,44482212
2026-07-03,1W,미국,17,미국,US77926X3200,ROUNDHILL MEMORY ETF,165715246,122949230,42766016
2026-07-03,1W,미국,18,미국,US4581401001,INTEL CORP,100992299,59253331,41738968
