date,period,country_filter,rank,country,isin,name,buy_amount,sell_amount,net_buy_amount
2026-07-22,1W,전체,1,미국,US25459W4583,DIREXION DAILY SEMICONDUCTORS BULL 3X SHS ETF,2317139203,576762971,1740376232
2026-07-22,1W,전체,2,미국,US78392B2060,SK HYNIX INC SPON ADS EACH REP 0.1 SHS WI,658196161,58975547,599220613
2026-07-22,1W,전체,3,미국,US74347X8314,PROSHARES ULTRAPRO QQQ ETF,113467502,20377728,93089774
2026-07-22,1W,전체,4,미국,US74347R2067,PROSHARES ULTRA QQQ ETF,79372155,4710457,74661697
2026-07-22,1W,전체,5,미국,US25461A3876,DIREXION SHARES ETF TRUST DAILY MSCI SOUTH KOREA BULL SPLR 970211833 US25459Y5208,198461871,130479818,67982053
2026-07-22,1W,전체,6,미국,US30303M1027,META PLATFORMS INC CL A,108740414,44024956,64715458
2026-07-22,1W,전체,7,미국,US84615Q1031,SPACE EXPLORATION TECHN-CL A,82198222,24578340,57619882
2026-07-22,1W,전체,8,미국,US46222L1089,IONQ INC,58705723,6188336,52517387
2026-07-22,1W,전체,9,미국,US9229083632,VANGUARD SP 500 ETF SPLR 39326002188 US9229084135,53886138,4006915,49879222
2026-07-22,1W,전체,10,미국,US46138G6492,INVESCO NASDAQ 100 ETF,53622428,4115387,49507041
2026-07-22,1W,전체,11,미국,US6974351057,PALO ALTO NETWORKS INC,50879875,2645543,48234332
2026-07-22,1W,전체,12,미국,US46152A6689,TRADR 2X LONG SNDK DAILY ETF,86602693,43025073,43577620
2026-07-22,1W,전체,13,미국,US75734B1008,REDDIT INC,42834481,4709558,38124924
2026-07-22,1W,전체,14,미국,US78433H6751,NEOS NASDAQ 100 HIGH INCOME ETF,32933621,2461444,30472177
2026-07-22,1W,전체,15,미국,US46654Q2030,J.P. MORGAN NASDAQ EQUITY PREMIUM INCOME ETF,31898568,2596463,29302104
2026-07-22,1W,전체,16,미국,US46090E1038,INVESCO QQQ TRUST SRS 1 ETF,43822470,14731608,29090861
2026-07-22,1W,전체,17,미국,US6391931010,NAVAN INC-CL A,25080854,77862,25002991
