date,period,country_filter,rank,country,isin,name,buy_amount,sell_amount,net_buy_amount
2026-07-20,1W,전체,1,미국,US25459W4583,DIREXION DAILY SEMICONDUCTORS BULL 3X SHS ETF,1993832718,908832052,1085000666
2026-07-20,1W,전체,2,미국,US78392B2060,SK HYNIX INC SPON ADS EACH REP 0.1 SHS WI,596157904,48682526,547475378
2026-07-20,1W,전체,3,미국,US0382221051,APPLIED MATERIALS INC,107805251,9878703,97926548
2026-07-20,1W,전체,4,미국,US25461A3876,DIREXION SHARES ETF TRUST DAILY MSCI SOUTH KOREA BULL SPLR 970211833 US25459Y5208,218648021,137655664,80992357
2026-07-20,1W,전체,5,미국,US46138G6492,INVESCO NASDAQ 100 ETF,70076269,5281750,64794520
2026-07-20,1W,전체,6,미국,US74347R2067,PROSHARES ULTRA QQQ ETF,70467455,6144034,64323420
2026-07-20,1W,전체,7,미국,US84615Q1031,SPACE EXPLORATION TECHN-CL A,92589374,28455564,64133810
2026-07-20,1W,전체,8,미국,US30303M1027,META PLATFORMS INC CL A,130635659,69727678,60907981
2026-07-20,1W,전체,9,미국,US9229083632,VANGUARD SP 500 ETF SPLR 39326002188 US9229084135,67459901,10394473,57065428
2026-07-20,1W,전체,10,미국,US46222L1089,IONQ INC,63938959,7439676,56499283
2026-07-20,1W,전체,11,미국,US6974351057,PALO ALTO NETWORKS INC,52275434,2063013,50212421
2026-07-20,1W,전체,12,미국,US75734B1008,REDDIT INC,46179086,2134557,44044529
2026-07-20,1W,전체,13,미국,US46090E1038,INVESCO QQQ TRUST SRS 1 ETF,55922427,13882881,42039546
2026-07-20,1W,전체,14,미국,US74347X8314,PROSHARES ULTRAPRO QQQ ETF,78189082,38306821,39882260
2026-07-20,1W,전체,15,미국,US02079K3059,ALPHABET INC CL A,75794102,39858059,35936043
2026-07-20,1W,전체,16,미국,US78433H6751,NEOS NASDAQ 100 HIGH INCOME ETF,33080837,1644380,31436457
2026-07-20,1W,전체,17,미국,US90385V1070,ULTRA CLEAN HOLDINGS INC,30089019,265514,29823506
2026-07-20,1W,전체,18,미국,US46654Q2030,J.P. MORGAN NASDAQ EQUITY PREMIUM INCOME ETF,30371408,2737809,27633598
2026-07-20,1W,전체,19,미국,US1725731079,Circle Internet,33519269,7023708,26495560
